"rank","unit_family","manufacturer","equipment_type","market_segment","primary_document_title","primary_document_type","primary_document_url","secondary_document_url","source_priority","documentation_quality","match_status","confidence","search_status","commonness_basis","notes"
"1","GSXN3 split-system air conditioner","Goodman","Air Conditioner","Residential split system","Goodman SS-GSXN3 product specifications","official_pdf","https://www.goodmanmfg.com/docs/librariesprovider6/default-document-library/ss-gsxn3.pdf","https://www.goodmanmfg.com/products/air-conditioners/gsxn3","official_manufacturer","direct_family_pdf","likely_model_family_match","high","searched_saved","Common budget residential straight-cool family; already used by the app demo.","PDF is suitable for later extraction after exact installed model/nameplate confirmation."
"2","GSXH5 split-system air conditioner","Goodman","Air Conditioner","Residential split system","Goodman SS-GSXH5 product specifications","official_pdf","https://www.goodmanmfg.com/docs/librariesprovider6/default-document-library/ss-gsxh5.pdf","https://www.goodmanmfg.com/products/air-conditioners","official_manufacturer","direct_family_pdf","likely_model_family_match","high","searched_saved","Common Goodman replacement/install family; high relevance for value-tier US residential service.","Use family PDF only after confirming exact GSXH5 model and revision."
"3","24SCA5 Comfort air conditioner","Carrier","Air Conditioner","Residential split system","Carrier Comfort 15 Central Air Conditioner 24SCA5","official_product_page","https://www.carrier.com/residential/en/us/products/air-conditioners/24sca5/","https://www.carrier.com/us/en/residential/air-conditioners/","official_manufacturer","official_family_page","likely_model_family_match","medium","searched_saved","Carrier is a major US installed base; Comfort tier appears often in residential replacement work.","Public page is official, but exact service PDFs may require Carrier literature/dealer portal review."
"4","115SAN Legacy line air conditioner","Bryant","Air Conditioner","Residential split system","Bryant Legacy Line Central Air Conditioner 115SAN","official_product_page","https://www.bryant.com/en/us/products/air-conditioners/115san/","https://www.bryant.com/en/us/products/air-conditioners/","official_manufacturer","official_family_page","likely_model_family_match","medium","searched_saved","Bryant shares Carrier ecosystem and has common US residential installed base.","Use official family page as source pointer until model-specific product data PDF is approved."
"5","Residential air conditioners","Trane","Air Conditioner","Residential split system","Trane residential air conditioners product library","official_product_library","https://www.trane.com/residential/en/products/air-conditioners/","","official_manufacturer","official_category_page","manufacturer_generic","medium","searched_saved","Trane is a major premium/midmarket installed-base brand; exact current family URLs vary.","Generic category page only; use Trane model number and literature before extracting specifications."
"6","Residential air conditioners","Lennox","Air Conditioner","Residential split system","Lennox residential air conditioners product library","official_product_library","https://www.lennox.com/residential/products/heating-cooling/air-conditioners","","official_manufacturer","official_category_page","manufacturer_generic","medium","searched_saved","Lennox has broad US residential installed base across builder and replacement markets.","Official category page; exact ML/EL/SL family literature still needed before AI retrieval."
"7","Residential air conditioners","Rheem","Air Conditioner","Residential split system","Rheem residential air conditioners product library","official_product_library","https://www.rheem.com/products/residential/heating-and-cooling/air_conditioners/","","official_manufacturer","official_category_page","manufacturer_generic","medium","searched_saved","Rheem is common in US residential service; source is official manufacturer category page.","Use as pointer only; exact RA/RD family submittal needed for repair specs."
"8","RA14AY Endeavor Select air conditioner","Ruud","Air Conditioner","Residential split system","Ruud Endeavor Line Select Series RA14AY air conditioner","official_product_page","https://www.ruud.com/product/endeavor-line-select-series-air-conditioner-ra14ay/","https://www.ruud.com/","official_manufacturer","official_family_page","likely_model_family_match","medium","searched_saved","Ruud shares Rheem platform and is common through regional distributors.","Official family page; confirm exact installed model and revision before extracting values."
"9","Residential air conditioners","Amana","Air Conditioner","Residential split system","Amana air conditioners product library","official_product_library","https://www.amana-hac.com/products/air-conditioners","","official_manufacturer","official_category_page","manufacturer_generic","medium","searched_saved","Amana/Daikin/Goodman equipment appears in value and midmarket residential installs.","Official category page; family-specific PDFs should be added as exact models are captured."
"10","Whole-house air conditioners","Daikin","Air Conditioner","Residential split system","Daikin whole-house air conditioners product library","official_product_library","https://www.daikincomfort.com/products/heating-cooling/whole-house/air-conditioners","","official_manufacturer","official_category_page","manufacturer_generic","medium","searched_saved","Daikin/Goodman ecosystem covers many US residential installs.","Official category page; exact DX/DZ/Daikin Fit family literature required for specification extraction."
